Timestamp,Millis,Temp_C,Lux,Distance_CM,System_Mode,Deviation_Active,Deviation_Fixed_Sec
2026-04-28 21:05:35,3205,23.12,43.00,6.60,1,1,
2026-04-28 21:05:35,4300,23.12,43.00,6.48,1,1,
2026-04-28 21:05:35,5395,23.12,43.00,6.60,1,1,
2026-04-28 21:05:35,6491,23.12,43.00,6.49,1,1,
2026-04-28 21:05:35,7585,23.12,43.00,6.58,1,1,
2026-04-28 21:05:35,8681,23.12,43.00,6.49,1,1,
2026-04-28 21:05:35,9776,23.12,43.00,6.58,1,1,
2026-04-28 21:05:35,10871,23.12,43.00,6.49,1,1,
2026-04-28 21:05:36,11966,23.12,43.00,6.60,1,1,
2026-04-28 21:05:37,13062,23.12,43.00,6.49,1,1,
2026-04-28 21:05:38,14156,23.12,43.00,6.58,1,1,
2026-04-28 21:05:39,15252,23.12,43.00,6.48,1,1,
2026-04-28 21:05:40,16347,23.12,43.00,9.20,1,1,
2026-04-28 21:05:41,17442,23.12,43.00,6.48,1,1,
2026-04-28 21:05:42,18537,23.12,43.00,6.58,1,1,
2026-04-28 21:05:44,19633,23.12,43.00,6.49,1,1,
2026-04-28 21:05:45,20727,23.12,43.00,6.58,1,1,
2026-04-28 21:05:46,21823,23.12,43.00,6.49,1,1,
2026-04-28 21:05:47,22918,23.12,43.00,6.58,1,1,
2026-04-28 21:05:48,24013,23.12,43.00,6.49,1,1,
2026-04-28 21:05:50,25734,23.19,43.00,6.60,1,1,
2026-04-28 21:05:51,26829,23.19,43.00,6.48,1,1,
2026-04-28 21:05:52,27924,23.12,43.00,6.60,1,1,
2026-04-28 21:05:53,29020,23.12,43.00,6.49,1,1,
2026-04-28 21:05:54,30114,23.12,43.00,6.58,1,1,
2026-04-28 21:05:55,31210,23.12,43.00,9.10,1,1,
2026-04-28 21:05:56,32306,23.12,43.00,6.60,1,1,
2026-04-28 21:05:57,33400,23.12,43.00,6.60,1,1,
2026-04-28 21:05:58,34496,23.12,43.00,6.49,1,1,
2026-04-28 21:06:00,35591,23.12,43.00,6.60,1,1,
2026-04-28 21:06:01,36686,23.12,43.00,6.48,1,1,
2026-04-28 21:06:02,37781,23.12,43.00,6.58,1,1,
2026-04-28 21:06:03,38877,23.12,43.00,6.49,1,1,
2026-04-28 21:06:05,40597,23.19,43.00,6.58,1,1,
2026-04-28 21:06:06,41693,23.19,43.00,6.48,1,1,
2026-04-28 21:06:07,42787,23.12,43.00,6.60,1,1,
2026-04-28 21:06:08,43883,23.12,43.00,6.49,1,1,
2026-04-28 21:06:09,44978,23.12,43.00,6.58,1,1,
2026-04-28 21:06:10,46073,23.12,43.00,6.49,1,1,
2026-04-28 21:06:11,47168,23.12,43.00,6.58,1,1,
2026-04-28 21:06:12,48264,23.12,43.00,6.49,1,1,
2026-04-28 21:06:13,49358,23.12,43.00,6.58,1,1,
2026-04-28 21:06:14,50454,23.12,43.00,6.48,1,1,
2026-04-28 21:06:16,51549,23.12,43.00,6.60,1,1,
2026-04-28 21:06:17,52644,23.12,43.00,6.48,1,1,
2026-04-28 21:06:18,53739,23.12,43.00,6.60,1,1,
2026-04-28 21:06:19,54835,23.12,43.00,6.48,1,1,
2026-04-28 21:06:20,55929,23.12,43.00,6.58,1,1,
2026-04-28 21:06:21,57025,23.12,43.00,6.48,1,1,
2026-04-28 21:06:22,58120,23.12,43.00,6.58,1,1,
2026-04-28 21:06:23,59215,23.12,43.00,9.10,1,1,
2026-04-28 21:06:24,60310,23.12,43.00,6.58,1,1,
2026-04-28 21:06:25,61406,23.12,43.00,6.49,1,1,
2026-04-28 21:06:27,62501,23.12,43.00,9.20,1,1,
2026-04-28 21:06:28,63596,23.12,43.00,6.58,1,1,
2026-04-28 21:06:29,64692,23.12,43.00,9.10,1,1,
2026-04-28 21:06:30,65786,23.12,43.00,9.20,1,1,
2026-04-28 21:06:31,66882,23.12,43.00,6.58,1,1,
2026-04-28 21:06:32,67977,23.12,43.00,6.60,1,1,
2026-04-28 21:06:33,69072,23.12,43.00,6.60,1,1,
2026-04-28 21:06:34,70167,23.12,43.00,6.58,1,1,
2026-04-28 21:06:35,71263,23.12,43.00,6.49,1,1,
